speaker_id,filepath,filename,sentence,gender,age_group,status
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_01.wav,B01___01_Matthew_____ISLICEN1DA_01.wav,ættartala jesú krists sonar davíðs sonar abrahams,Male,Senior,test
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_02.wav,B01___01_Matthew_____ISLICEN1DA_02.wav,abraham gat ísak ísak gat jakob jakob gat júda og bræður hans,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_03.wav,B01___01_Matthew_____ISLICEN1DA_03.wav,júda gat peres og sara við tamar peres gat esrom,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_04.wav,B01___01_Matthew_____ISLICEN1DA_04.wav,esrom gat ram ram gat ammínadab ammínadab gat nakson,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_05.wav,B01___01_Matthew_____ISLICEN1DA_05.wav,nakson gat salmon salmon gat bóas við rahab og bóas gat óbeð,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_06.wav,B01___01_Matthew_____ISLICEN1DA_06.wav,við rut,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_07.wav,B01___01_Matthew_____ISLICEN1DA_07.wav,óbeð gat ísaí og ísaí gat davíð konung,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_08.wav,B01___01_Matthew_____ISLICEN1DA_08.wav,davíð gat salómon við konu úría salómon gat róbóam róbóam gat abía,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_09.wav,B01___01_Matthew_____ISLICEN1DA_09.wav,abía gat asaf asaf gat jósafat jósafat gat jóram,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_10.wav,B01___01_Matthew_____ISLICEN1DA_10.wav,jóram gat ússía ússía gat jótam,Male,Senior,test
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_11.wav,B01___01_Matthew_____ISLICEN1DA_11.wav,jótam gat akas akas gat esekía,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_12.wav,B01___01_Matthew_____ISLICEN1DA_12.wav,esekía gat manasse manasse gat amos amos gat jósía,Male,Senior,test
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_13.wav,B01___01_Matthew_____ISLICEN1DA_13.wav,jósía gat jekonja og bræður hans á tíma útlegðarinnar í babýlon,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_14.wav,B01___01_Matthew_____ISLICEN1DA_14.wav,eftir útlegðina í babýlon gat jekonja sealtíel sealtíel gat serúbabel,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_15.wav,B01___01_Matthew_____ISLICEN1DA_15.wav,serúbabel gat abíúd,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_16.wav,B01___01_Matthew_____ISLICEN1DA_16.wav,abíúd gat eljakím eljakím gat asór asór gat sadók,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_17.wav,B01___01_Matthew_____ISLICEN1DA_17.wav,sadók gat akím akím gat elíúd elíúd gat,Male,Senior,test
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_18.wav,B01___01_Matthew_____ISLICEN1DA_18.wav,eleasar eleasar gat mattan mattan gat jakob og jakob gat jósef,Male,Senior,test
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_19.wav,B01___01_Matthew_____ISLICEN1DA_19.wav,mann maríu en hún ól jesú sem kallast kristur þannig,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_20.wav,B01___01_Matthew_____ISLICEN1DA_20.wav,eru alls fjórtán ættliðir frá abraham til davíðs fjórtán ættliðir frá davíð fram að útlegðinni í babýlon og fjórtán ættliðir frá útlegðinni til krists,Male,Senior,test
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_21.wav,B01___01_Matthew_____ISLICEN1DA_21.wav,fæðing jesú krists varð á þennan hátt maría móðir hans var föstnuð jósef,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_22.wav,B01___01_Matthew_____ISLICEN1DA_22.wav,en áður en þau komu saman reyndist hún þunguð af heilögum anda,Male,Senior,dev
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_23.wav,B01___01_Matthew_____ISLICEN1DA_23.wav,jósef festarmaður hennar sem var valmenni vildi ekki gera henni opinbera minnkun og hugðist skilja við hana í kyrrþey,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_24.wav,B01___01_Matthew_____ISLICEN1DA_24.wav,hann hafði ráðið þetta með sér en þá vitraðist honum engill drottins í draumi,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_25.wav,B01___01_Matthew_____ISLICEN1DA_25.wav,og sagði jósef sonur davíðs óttast þú ekki að taka til þín maríu heitkonu þína,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_26.wav,B01___01_Matthew_____ISLICEN1DA_26.wav,barnið sem hún gengur með er af heilögum anda hún mun son ala og,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_27.wav,B01___01_Matthew_____ISLICEN1DA_27.wav,hann skaltu láta heita jesú því að hann mun frelsa lýð sinn frá syndum hans allt,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_28.wav,B01___01_Matthew_____ISLICEN1DA_28.wav,varð þetta til þess að rætast skyldi það sem drottinn lét spámanninn boða sjá yngismær mun þunguð verða og fæða son,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_29.wav,B01___01_Matthew_____ISLICEN1DA_29.wav,og lætur hann heita immanúel,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_30.wav,B01___01_Matthew_____ISLICEN1DA_30.wav,það þýðir guð með oss þegar jósef vaknaði gerði hann eins og engill drottins hafði boðið honum,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_31.wav,B01___01_Matthew_____ISLICEN1DA_31.wav,og tók konu sína til sín hann kenndi hennar ekki fyrr en hún hafði alið son,Male,Senior,train
1,audio_data/B01___01_Matthew_____ISLICEN1DA/B01___01_Matthew_____ISLICEN1DA_32.wav,B01___01_Matthew_____ISLICEN1DA_32.wav,og hann gaf honum nafnið jesús,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_01.wav,B01___02_Matthew_____ISLICEN1DA_01.wav,þegar jesús var fæddur í betlehem í júdeu á dögum heródesar konungs komu vitringar frá austurlöndum til jerúsalem og sögðu,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_02.wav,B01___02_Matthew_____ISLICEN1DA_02.wav,hvar er hinn nýfæddi konungur gyðinga við sáum stjörnu hans renna upp og erum komnir að veita honum lotningu,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_03.wav,B01___02_Matthew_____ISLICEN1DA_03.wav,þegar heródes heyrði þetta varð hann skelkaður og öll jerúsalem með honum og hann stefndi saman öllum æðstu prestum og fræðimönnum og spurði þá,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_04.wav,B01___02_Matthew_____ISLICEN1DA_04.wav,hvar á kristur að fæðast þeir svöruðu honum í betlehem í júdeu,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_05.wav,B01___02_Matthew_____ISLICEN1DA_05.wav,en þannig er ritað hjá spámanninum þú betlehem í landi júda,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_06.wav,B01___02_Matthew_____ISLICEN1DA_06.wav,ekki ert þú síst meðal hefðarborga júda því að höfðingi mun frá þér koma,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_07.wav,B01___02_Matthew_____ISLICEN1DA_07.wav,sem verður hirðir lýðs míns ísraels,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_08.wav,B01___02_Matthew_____ISLICEN1DA_08.wav,þá kallaði heródes vitringana til sín á laun og grófst eftir því hjá þeim,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_09.wav,B01___02_Matthew_____ISLICEN1DA_09.wav,hvenær stjarnan hefði birst hann sendi þá síðan til betlehem og sagði,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_10.wav,B01___02_Matthew_____ISLICEN1DA_10.wav,farið og spyrjist vandlega fyrir um barnið og er þið finnið það,Male,Senior,test
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_11.wav,B01___02_Matthew_____ISLICEN1DA_11.wav,látið mig vita til þess að ég geti einnig komið og veitt því lotningu,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_12.wav,B01___02_Matthew_____ISLICEN1DA_12.wav,þeir hlýddu á konung og fóru,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_13.wav,B01___02_Matthew_____ISLICEN1DA_13.wav,og stjarnan sem þeir sáu austur þar fór fyrir þeim uns hana bar þar yfir sem barnið var þegar,Male,Senior,test
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_14.wav,B01___02_Matthew_____ISLICEN1DA_14.wav,þeir sáu stjörnuna glöddust þeir harla mjög þeir gengu inn í húsið,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_15.wav,B01___02_Matthew_____ISLICEN1DA_15.wav,og sáu barnið og maríu móður þess féllu fram og veittu því lotningu,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_16.wav,B01___02_Matthew_____ISLICEN1DA_16.wav,síðan luku þeir upp fjárhirslum sínum og færðu því gjafir gull reykelsi og myrru,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_17.wav,B01___02_Matthew_____ISLICEN1DA_17.wav,en þar sem þeir fengu bendingu í draumi að snúa ekki aftur til heródesar fóru þeir aðra leið,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_18.wav,B01___02_Matthew_____ISLICEN1DA_18.wav,heim í land sitt,Male,Senior,test
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_19.wav,B01___02_Matthew_____ISLICEN1DA_19.wav,þegar vitringarnir voru farnir þá vitrast engill drottins jósef í draumi,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_20.wav,B01___02_Matthew_____ISLICEN1DA_20.wav,og segir rís upp tak barnið og móður þess og flý til egyptalands þar,Male,Senior,test
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_21.wav,B01___02_Matthew_____ISLICEN1DA_21.wav,skaltu vera uns ég segi þér því að heródes mun leita barnsins til að fyrirfara því,Male,Senior,test
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_22.wav,B01___02_Matthew_____ISLICEN1DA_22.wav,jósef vaknaði tók barnið og móður þess um nóttina og fór til egyptalands,Male,Senior,test
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_23.wav,B01___02_Matthew_____ISLICEN1DA_23.wav,þar dvöldust þau þangað til heródes var allur,Male,Senior,test
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_24.wav,B01___02_Matthew_____ISLICEN1DA_24.wav,það átti að rætast sem drottinn lét spámanninn segja frá egyptalandi,Male,Senior,test
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_25.wav,B01___02_Matthew_____ISLICEN1DA_25.wav,kallaði ég son minn,Male,Senior,train
1,audio_data/B01___02_Matthew_____ISLICEN1DA/B01___02_Matthew_____ISLICEN1DA_26.wav,B01___02_Matthew_____ISLICEN1DA_26.wav,þá sá heródes að vitringarnir höfðu gabbað hann og varð afar reiður,Male,Senior,train
