speaker_id,filepath,filename,sentence,gender,age_group,status
3,audio_data/B03___11_Luke________ISLICEN1DA/B03___11_Luke________ISLICEN1DA_58.wav,B03___11_Luke________ISLICEN1DA_58.wav,tekur sá alvæpni hans er hann treysti á og skiptir herfanginu,Female,Young adult,train
3,audio_data/B05___27_Acts________ISLICEN1DA/B05___27_Acts________ISLICEN1DA_28.wav,B05___27_Acts________ISLICEN1DA_28.wav,skipið hrakti og varð því ekki beitt upp í vindinn,Female,Young adult,train
5,audio_data/B07___11_1CorinthiansISLICEN1DA/B07___11_1CorinthiansISLICEN1DA_10.wav,B07___11_1CorinthiansISLICEN1DA_10.wav,er hið sama sem hún hefði látið krúnuraka sig ef konan því vill,Male,Middle aged,train
5,audio_data/B08___07_2CorinthiansISLICEN1DA/B08___07_2CorinthiansISLICEN1DA_10.wav,B08___07_2CorinthiansISLICEN1DA_10.wav,en guð sem uppörvar beygða veitti mér kjark þegar títus kom,Male,Middle aged,train
4,audio_data/B04___08_John________ISLICEN1DA/B04___08_John________ISLICEN1DA_157.wav,B04___08_John________ISLICEN1DA_157.wav,ert þú meiri en faðir okkar abraham,Female,Senior,train
3,audio_data/B03___21_Luke________ISLICEN1DA/B03___21_Luke________ISLICEN1DA_45.wav,B03___21_Luke________ISLICEN1DA_45.wav,mun þá verða í landinu og reiði yfir þessum lýð,Female,Young adult,train
3,audio_data/B03___12_Luke________ISLICEN1DA/B03___12_Luke________ISLICEN1DA_135.wav,B03___12_Luke________ISLICEN1DA_135.wav,ég segi þér,Female,Young adult,train
5,audio_data/B09___01_Galatians___ISLICEN1DA/B09___01_Galatians___ISLICEN1DA_18.wav,B09___01_Galatians___ISLICEN1DA_18.wav,þá sé hann bölvaður,Male,Middle aged,train
2,audio_data/B02___13_Mark________ISLICEN1DA/B02___13_Mark________ISLICEN1DA_67.wav,B02___13_Mark________ISLICEN1DA_67.wav,vakið því,Male,Young adult,train
1,audio_data/B01___28_Matthew_____ISLICEN1DA/B01___28_Matthew_____ISLICEN1DA_11.wav,B01___28_Matthew_____ISLICEN1DA_11.wav,þá segir jesús við þær óttist ekki farið og segið bræðrum mínum og systrum að halda til galíleu,Male,Senior,train
4,audio_data/B04___18_John________ISLICEN1DA/B04___18_John________ISLICEN1DA_100.wav,B04___18_John________ISLICEN1DA_100.wav,jesús svaraði,Female,Senior,train
1,audio_data/B01___08_Matthew_____ISLICEN1DA/B01___08_Matthew_____ISLICEN1DA_34.wav,B01___08_Matthew_____ISLICEN1DA_34.wav,nú fór jesús í bátinn og lærisveinar hans fylgdu honum þá gerði svo mikið veður á vatninu,Male,Senior,train
4,audio_data/B04___17_John________ISLICEN1DA/B04___17_John________ISLICEN1DA_60.wav,B04___17_John________ISLICEN1DA_60.wav,svo að þeir sjái dýrð mína sem þú hefur gefið mér,Female,Senior,train
7,audio_data/B27___16_Revelation__ISLICEN1DA/B27___16_Revelation__ISLICEN1DA_37.wav,B27___16_Revelation__ISLICEN1DA_37.wav,og borgin mikla fór í þrjá hluta og borgir þjóðanna hrundu,Female,Senior,train
5,audio_data/B06___13_Romans______ISLICEN1DA/B06___13_Romans______ISLICEN1DA_31.wav,B06___13_Romans______ISLICEN1DA_31.wav,ekki með þrætum eða öfund íklæðist heldur drottni jesú kristi og leggið ekki þann hug á jarðnesk efni,Male,Middle aged,train
5,audio_data/B08___11_2CorinthiansISLICEN1DA/B08___11_2CorinthiansISLICEN1DA_26.wav,B08___11_2CorinthiansISLICEN1DA_26.wav,og ekki er það undur því að satan sjálfur tekur á sig ljósengilsmynd,Male,Middle aged,train
5,audio_data/B08___10_2CorinthiansISLICEN1DA/B08___10_2CorinthiansISLICEN1DA_07.wav,B08___10_2CorinthiansISLICEN1DA_07.wav,ég brýt niður hugsmíðar og allt sem hreykir sér gegn þekkingunni á guði,Male,Middle aged,train
3,audio_data/B03___24_Luke________ISLICEN1DA/B03___24_Luke________ISLICEN1DA_82.wav,B03___24_Luke________ISLICEN1DA_82.wav,svo er skrifað að kristur eigi að líða og rísa upp frá dauðum á þriðja degi og að prédika skuli í nafni hans,Female,Young adult,train
3,audio_data/B05___16_Acts________ISLICEN1DA/B05___16_Acts________ISLICEN1DA_68.wav,B05___16_Acts________ISLICEN1DA_68.wav,síðan fór hann með þá upp í hús sitt bar þeim mat og hann og allt heimafólk hans fagnaði yfir því,Female,Young adult,train
5,audio_data/B18___01_Philemon____ISLICEN1DA/B18___01_Philemon____ISLICEN1DA_13.wav,B18___01_Philemon____ISLICEN1DA_13.wav,er hann páll gamli og nú líka bandingi krists jesú,Male,Middle aged,train
5,audio_data/B07___08_1CorinthiansISLICEN1DA/B07___08_1CorinthiansISLICEN1DA_20.wav,B07___08_1CorinthiansISLICEN1DA_20.wav,en gætið þess að þetta frelsi ykkar verði ekki hinum óstyrku að falli,Male,Middle aged,train
4,audio_data/B04___07_John________ISLICEN1DA/B04___07_John________ISLICEN1DA_19.wav,B04___07_John________ISLICEN1DA_19.wav,þegar bræður jesú voru farnir upp eftir til hátíðarinnar fór hann samt líka upp eftir,Female,Senior,train
3,audio_data/B03___08_Luke________ISLICEN1DA/B03___08_Luke________ISLICEN1DA_100.wav,B03___08_Luke________ISLICEN1DA_100.wav,allt fólk í héruðum gerasena,Female,Young adult,train
5,audio_data/B07___02_1CorinthiansISLICEN1DA/B07___02_1CorinthiansISLICEN1DA_02.wav,B07___02_1CorinthiansISLICEN1DA_02.wav,eða spekiorðum,Male,Middle aged,train
4,audio_data/B04___06_John________ISLICEN1DA/B04___06_John________ISLICEN1DA_55.wav,B04___06_John________ISLICEN1DA_55.wav,hvað afrekar þú,Female,Senior,train
3,audio_data/B05___21_Acts________ISLICEN1DA/B05___21_Acts________ISLICEN1DA_76.wav,B05___21_Acts________ISLICEN1DA_76.wav,tók hann og skipaði að binda hann tvennum fjötrum og spurði hver hann væri og hvað hann hefði gert,Female,Young adult,train
3,audio_data/B05___27_Acts________ISLICEN1DA/B05___27_Acts________ISLICEN1DA_39.wav,B05___27_Acts________ISLICEN1DA_39.wav,tók þá að þrjóta öll von um að við kæmumst af,Female,Young adult,train
4,audio_data/B04___10_John________ISLICEN1DA/B04___10_John________ISLICEN1DA_79.wav,B04___10_John________ISLICEN1DA_79.wav,og enginn,Female,Senior,train
