filepath,sentence
audio_data_aug/train/wavs/noise-B02___03_Mark________ISLICEN1DA_40.wav,fær það heimili eigi staðist
audio_data_aug/train/wavs/noise-B06___04_Romans______ISLICEN1DA_19.wav,hann var óumskorinn hann fékk umskurnina sem tákn innsigli
audio_data_aug/train/wavs/noise-B01___25_Matthew_____ISLICEN1DA_50.wav,í fangelsi var ég og þér komuð til mín
audio_data_aug/train/wavs/noise-B01___14_Matthew_____ISLICEN1DA_09.wav,konungur varð hryggur við en vegna eiðsins og gesta sinna bauð hann að veita henni þetta hann sendi böðla í fangelsið
audio_data_aug/train/wavs/noise-B15___05_1Timothy____ISLICEN1DA_04.wav,þá læri þau fyrst og fremst að sýna rækt eigin heimili og endurgjalda foreldrum sínum
audio_data_aug/train/wavs/noise-B08___07_2CorinthiansISLICEN1DA_03.wav,engum hef ég gert rangt til engan skaðað engan féflett
audio_data_aug/train/wavs/noise-B01___11_Matthew_____ISLICEN1DA_48.wav,og byrði mín létt
audio_data_aug/train/wavs/noise-B01___26_Matthew_____ISLICEN1DA_49.wav,jesús sagði við hann sannlega segi ég þér á þessari nóttu áður en hani galar
audio_data_aug/train/wavs/noise-B05___20_Acts________ISLICEN1DA_61.wav,vakið því og minnist þess
audio_data_aug/train/wavs/noise-B01___10_Matthew_____ISLICEN1DA_23.wav,en þá er menn draga yður fyrir rétt skuluð þér ekki hafa áhyggjur af því hvernig eða hvað þér eigið að tala
audio_data_aug/train/wavs/noise-B04___06_John________ISLICEN1DA_141.wav,ætlið þið að fara líka
audio_data_aug/train/wavs/noise-B27___04_Revelation__ISLICEN1DA_09.wav,í þeim sátu tuttugu og fjórir öldungar skrýddir hvítum klæðum og voru gullkórónur á höfðum þeirra
audio_data_aug/train/wavs/noise-B01___09_Matthew_____ISLICEN1DA_63.wav,þá sagði hann við lærisveina sína uppskeran er mikil en verkamenn fáir
audio_data_aug/train/wavs/noise-B03___20_Luke________ISLICEN1DA_53.wav,gjaldið þá keisaranum það sem keisarans er og guði það sem guðs er
audio_data_aug/train/wavs/noise-B05___13_Acts________ISLICEN1DA_65.wav,hefur hann talað þannig
audio_data_aug/train/wavs/noise-B05___25_Acts________ISLICEN1DA_48.wav,hinn svaraði
