speaker_id,filepath,filename,sentence,gender,age_group,status
1,Bible_Split_Corp_audio/B01___19_Matthew_____ISLICEN1DA/B01___19_Matthew_____ISLICEN1DA_08.wav,B01___19_Matthew_____ISLICEN1DA_08.wav,þeir segja við jesú hvers vegan bauð móse þá að gefa konu skilnaðarbréf,Male,Senior,train
7,Bible_Split_Corp_audio/B27___18_Revelation__ISLICEN1DA/B27___18_Revelation__ISLICEN1DA_15.wav,B27___18_Revelation__ISLICEN1DA_15.wav,hefur verið,Female,Senior,train
5,Bible_Split_Corp_audio/B06___06_Romans______ISLICEN1DA/B06___06_Romans______ISLICEN1DA_21.wav,B06___06_Romans______ISLICEN1DA_21.wav,vitum að kristur upp vakinn frá dauðum deyr ekki framar,Male,Middle aged,train
4,Bible_Split_Corp_audio/B04___18_John________ISLICEN1DA/B04___18_John________ISLICEN1DA_36.wav,B04___18_John________ISLICEN1DA_36.wav,hermennirnir foringinn,Female,Senior,train
2,Bible_Split_Corp_audio/B02___05_Mark________ISLICEN1DA/B02___05_Mark________ISLICEN1DA_77.wav,B02___05_Mark________ISLICEN1DA_77.wav,að láta engan vita þetta og bauð að gefa henni að eta,Male,Young adult,train
3,Bible_Split_Corp_audio/B03___04_Luke________ISLICEN1DA/B03___04_Luke________ISLICEN1DA_09.wav,B03___04_Luke________ISLICEN1DA_09.wav,þá fór hann með hann upp og sýndi honum á augabragði öll ríki veraldar,Female,Young adult,train
5,Bible_Split_Corp_audio/B07___12_1CorinthiansISLICEN1DA/B07___12_1CorinthiansISLICEN1DA_04.wav,B07___12_1CorinthiansISLICEN1DA_04.wav,og enginn getur sagt jesús er drottinn nema af heilögum anda,Male,Middle aged,train
3,Bible_Split_Corp_audio/B05___14_Acts________ISLICEN1DA/B05___14_Acts________ISLICEN1DA_20.wav,B05___14_Acts________ISLICEN1DA_20.wav,kölluðu þeir barnabas seif en pál hermes því að hann hafði orð fyrir þeim,Female,Young adult,train
1,Bible_Split_Corp_audio/B01___20_Matthew_____ISLICEN1DA/B01___20_Matthew_____ISLICEN1DA_43.wav,B01___20_Matthew_____ISLICEN1DA_43.wav,þegar þeir fóru frá jeríkó fylgdi mikill mannfjöldi jesú,Male,Senior,train
5,Bible_Split_Corp_audio/B10___01_Ephesians___ISLICEN1DA/B10___01_Ephesians___ISLICEN1DA_07.wav,B10___01_Ephesians___ISLICEN1DA_07.wav,fyrir fram ákvað hann að gera oss að börnum sínum í jesú kristi sá var náðarvilji hans,Male,Middle aged,train
4,Bible_Split_Corp_audio/B04___05_John________ISLICEN1DA/B04___05_John________ISLICEN1DA_85.wav,B04___05_John________ISLICEN1DA_85.wav,því að þér trúið ekki þeim sem hann sendi,Female,Senior,train
1,Bible_Split_Corp_audio/B01___27_Matthew_____ISLICEN1DA/B01___27_Matthew_____ISLICEN1DA_45.wav,B01___27_Matthew_____ISLICEN1DA_45.wav,þá leiddu þeir hann út til að krossfesta hann,Male,Senior,train
5,Bible_Split_Corp_audio/B08___07_2CorinthiansISLICEN1DA/B08___07_2CorinthiansISLICEN1DA_19.wav,B08___07_2CorinthiansISLICEN1DA_19.wav,sem engan iðrar og frelsist en þegar menn hryggjast að hætti heimsins,Male,Middle aged,train
4,Bible_Split_Corp_audio/B04___13_John________ISLICEN1DA/B04___13_John________ISLICEN1DA_20.wav,B04___13_John________ISLICEN1DA_20.wav,nú skilur þú ekki hvað ég er að gera en seinna muntu skilja,Female,Senior,train
5,Bible_Split_Corp_audio/B07___14_1CorinthiansISLICEN1DA/B07___14_1CorinthiansISLICEN1DA_65.wav,B07___14_1CorinthiansISLICEN1DA_65.wav,en ef þær vilja fræðast um eitthvað þá skulu þær spyrja eiginmenn sína heima,Male,Middle aged,train
4,Bible_Split_Corp_audio/B04___12_John________ISLICEN1DA/B04___12_John________ISLICEN1DA_87.wav,B04___12_John________ISLICEN1DA_87.wav,mannfjöldinn svaraði honum,Female,Senior,train
3,Bible_Split_Corp_audio/B03___04_Luke________ISLICEN1DA/B03___04_Luke________ISLICEN1DA_10.wav,B03___04_Luke________ISLICEN1DA_10.wav,og djöfullinn sagði við jesú,Female,Young adult,train
4,Bible_Split_Corp_audio/B04___09_John________ISLICEN1DA/B04___09_John________ISLICEN1DA_94.wav,B04___09_John________ISLICEN1DA_94.wav,alda öðli hefur ekki heyrst að nokkur hafi gert þann sjáandi,Female,Senior,train
4,Bible_Split_Corp_audio/B04___16_John________ISLICEN1DA/B04___16_John________ISLICEN1DA_58.wav,B04___16_John________ISLICEN1DA_58.wav,og hjarta yðar,Female,Senior,train
1,Bible_Split_Corp_audio/B01___27_Matthew_____ISLICEN1DA/B01___27_Matthew_____ISLICEN1DA_08.wav,B01___27_Matthew_____ISLICEN1DA_08.wav,síðan fór hann og hengdi sig,Male,Senior,train
3,Bible_Split_Corp_audio/B03___22_Luke________ISLICEN1DA/B03___22_Luke________ISLICEN1DA_88.wav,B03___22_Luke________ISLICEN1DA_88.wav,þá birtist honum engill af himni sem styrkti hann,Female,Young adult,train
