speaker_id,filepath,filename,sentence,gender,age_group,status
2,audio_data/B02___03_Mark________ISLICEN1DA/B02___03_Mark________ISLICEN1DA_40.wav,B02___03_Mark________ISLICEN1DA_40.wav,fær það heimili eigi staðist,Male,Young adult,train
5,audio_data/B06___04_Romans______ISLICEN1DA/B06___04_Romans______ISLICEN1DA_19.wav,B06___04_Romans______ISLICEN1DA_19.wav,hann var óumskorinn hann fékk umskurnina sem tákn innsigli,Male,Middle aged,train
1,audio_data/B01___25_Matthew_____ISLICEN1DA/B01___25_Matthew_____ISLICEN1DA_50.wav,B01___25_Matthew_____ISLICEN1DA_50.wav,í fangelsi var ég og þér komuð til mín,Male,Senior,train
1,audio_data/B01___14_Matthew_____ISLICEN1DA/B01___14_Matthew_____ISLICEN1DA_09.wav,B01___14_Matthew_____ISLICEN1DA_09.wav,konungur varð hryggur við en vegna eiðsins og gesta sinna bauð hann að veita henni þetta hann sendi böðla í fangelsið,Male,Senior,train
5,audio_data/B15___05_1Timothy____ISLICEN1DA/B15___05_1Timothy____ISLICEN1DA_04.wav,B15___05_1Timothy____ISLICEN1DA_04.wav,þá læri þau fyrst og fremst að sýna rækt eigin heimili og endurgjalda foreldrum sínum,Male,Middle aged,train
5,audio_data/B08___07_2CorinthiansISLICEN1DA/B08___07_2CorinthiansISLICEN1DA_03.wav,B08___07_2CorinthiansISLICEN1DA_03.wav,engum hef ég gert rangt til engan skaðað engan féflett,Male,Middle aged,train
1,audio_data/B01___11_Matthew_____ISLICEN1DA/B01___11_Matthew_____ISLICEN1DA_48.wav,B01___11_Matthew_____ISLICEN1DA_48.wav,og byrði mín létt,Male,Senior,train
1,audio_data/B01___26_Matthew_____ISLICEN1DA/B01___26_Matthew_____ISLICEN1DA_49.wav,B01___26_Matthew_____ISLICEN1DA_49.wav,jesús sagði við hann sannlega segi ég þér á þessari nóttu áður en hani galar,Male,Senior,train
3,audio_data/B05___20_Acts________ISLICEN1DA/B05___20_Acts________ISLICEN1DA_61.wav,B05___20_Acts________ISLICEN1DA_61.wav,vakið því og minnist þess,Female,Young adult,train
1,audio_data/B01___10_Matthew_____ISLICEN1DA/B01___10_Matthew_____ISLICEN1DA_23.wav,B01___10_Matthew_____ISLICEN1DA_23.wav,en þá er menn draga yður fyrir rétt skuluð þér ekki hafa áhyggjur af því hvernig eða hvað þér eigið að tala,Male,Senior,train
4,audio_data/B04___06_John________ISLICEN1DA/B04___06_John________ISLICEN1DA_141.wav,B04___06_John________ISLICEN1DA_141.wav,ætlið þið að fara líka,Female,Senior,train
7,audio_data/B27___04_Revelation__ISLICEN1DA/B27___04_Revelation__ISLICEN1DA_09.wav,B27___04_Revelation__ISLICEN1DA_09.wav,í þeim sátu tuttugu og fjórir öldungar skrýddir hvítum klæðum og voru gullkórónur á höfðum þeirra,Female,Senior,train
1,audio_data/B01___09_Matthew_____ISLICEN1DA/B01___09_Matthew_____ISLICEN1DA_63.wav,B01___09_Matthew_____ISLICEN1DA_63.wav,þá sagði hann við lærisveina sína uppskeran er mikil en verkamenn fáir,Male,Senior,train
3,audio_data/B03___20_Luke________ISLICEN1DA/B03___20_Luke________ISLICEN1DA_53.wav,B03___20_Luke________ISLICEN1DA_53.wav,gjaldið þá keisaranum það sem keisarans er og guði það sem guðs er,Female,Young adult,train
3,audio_data/B05___13_Acts________ISLICEN1DA/B05___13_Acts________ISLICEN1DA_65.wav,B05___13_Acts________ISLICEN1DA_65.wav,hefur hann talað þannig,Female,Young adult,train
3,audio_data/B05___25_Acts________ISLICEN1DA/B05___25_Acts________ISLICEN1DA_48.wav,B05___25_Acts________ISLICEN1DA_48.wav,hinn svaraði,Female,Young adult,train
7,audio_data/B23___05_1John_______ISLICEN1DA/B23___05_1John_______ISLICEN1DA_25.wav,B23___05_1John_______ISLICEN1DA_25.wav,og þetta er vitnisburðurinn guð,Female,Senior,train
5,audio_data/B08___01_2CorinthiansISLICEN1DA/B08___01_2CorinthiansISLICEN1DA_36.wav,B08___01_2CorinthiansISLICEN1DA_36.wav,hugðist bæði koma við hjá ykkur á leiðinni til makedóníu og aftur á leiðinni,Male,Middle aged,train
1,audio_data/B01___26_Matthew_____ISLICEN1DA/B01___26_Matthew_____ISLICEN1DA_50.wav,B01___26_Matthew_____ISLICEN1DA_50.wav,muntu þrisvar afneita mér,Male,Senior,train
6,audio_data/B21___04_1Peter______ISLICEN1DA/B21___04_1Peter______ISLICEN1DA_30.wav,B21___04_1Peter______ISLICEN1DA_30.wav,sæl eruð þið þegar menn smána ykkur vegna nafns krists,Female,Middle aged,train
3,audio_data/B03___24_Luke________ISLICEN1DA/B03___24_Luke________ISLICEN1DA_29.wav,B03___24_Luke________ISLICEN1DA_29.wav,sagði við hann,Female,Young adult,train
6,audio_data/B19___04_Hebrews_____ISLICEN1DA/B19___04_Hebrews_____ISLICEN1DA_14.wav,B19___04_Hebrews_____ISLICEN1DA_14.wav,þeir sem áður fengu fagnaðarerindið gengu ekki inn sakir óhlýðni,Female,Middle aged,train
5,audio_data/B09___03_Galatians___ISLICEN1DA/B09___03_Galatians___ISLICEN1DA_47.wav,B09___03_Galatians___ISLICEN1DA_47.wav,er þá lögmálið gegn fyrirheitum guðs,Male,Middle aged,train
3,audio_data/B03___21_Luke________ISLICEN1DA/B03___21_Luke________ISLICEN1DA_70.wav,B03___21_Luke________ISLICEN1DA_70.wav,á daginn var jesús að kenna í helgidóminum en fór og dvaldist um nætur á olíufjallinu,Female,Young adult,train
5,audio_data/B17___02_Titus_______ISLICEN1DA/B17___02_Titus_______ISLICEN1DA_01.wav,B17___02_Titus_______ISLICEN1DA_01.wav,en tala þú það sem sæmir hinni heilnæmu kenningu,Male,Middle aged,train
4,audio_data/B04___09_John________ISLICEN1DA/B04___09_John________ISLICEN1DA_45.wav,B04___09_John________ISLICEN1DA_45.wav,hvernig getur syndugur maður gert þvílík,Female,Senior,train
3,audio_data/B03___04_Luke________ISLICEN1DA/B03___04_Luke________ISLICEN1DA_76.wav,B03___04_Luke________ISLICEN1DA_76.wav,og báðu þeir hann að hjálpa henni,Female,Young adult,train
3,audio_data/B03___16_Luke________ISLICEN1DA/B03___16_Luke________ISLICEN1DA_38.wav,B03___16_Luke________ISLICEN1DA_38.wav,enginn þjónn getur þjónað tveimur herrum,Female,Young adult,train
1,audio_data/B01___10_Matthew_____ISLICEN1DA/B01___10_Matthew_____ISLICEN1DA_39.wav,B01___10_Matthew_____ISLICEN1DA_39.wav,mun og ég við kannast fyrir föður mínum á himnum en þeim sem afneitar mér fyrir mönnum mun og ég afneita fyrir föður mínum á himnum,Male,Senior,train
3,audio_data/B05___19_Acts________ISLICEN1DA/B05___19_Acts________ISLICEN1DA_63.wav,B05___19_Acts________ISLICEN1DA_63.wav,er þeir heyrðu þetta urðu þeir afar reiðir og æptu,Female,Young adult,train
3,audio_data/B03___08_Luke________ISLICEN1DA/B03___08_Luke________ISLICEN1DA_67.wav,B03___08_Luke________ISLICEN1DA_67.wav,og slotaði þegar og gerði logn,Female,Young adult,train
5,audio_data/B08___11_2CorinthiansISLICEN1DA/B08___11_2CorinthiansISLICEN1DA_16.wav,B08___11_2CorinthiansISLICEN1DA_16.wav,og er ég var hjá ykkur og leið þröng varð ég þó ekki neinum til byrði því að úr skorti mínum bættu bræðurnir er komu frá makedóníu,Male,Middle aged,train
4,audio_data/B04___04_John________ISLICEN1DA/B04___04_John________ISLICEN1DA_118.wav,B04___04_John________ISLICEN1DA_118.wav,hann spurði þá hvenær honum hefði farið að létta,Female,Senior,train
7,audio_data/B23___03_1John_______ISLICEN1DA/B23___03_1John_______ISLICEN1DA_03.wav,B23___03_1John_______ISLICEN1DA_03.wav,heimurinn þekkir okkur ekki vegna þess að hann þekkti hann ekki,Female,Senior,train
6,audio_data/B21___01_1Peter______ISLICEN1DA/B21___01_1Peter______ISLICEN1DA_09.wav,B21___01_1Peter______ISLICEN1DA_09.wav,og veitt oss óforgengilega flekklausa og ófölnandi arfleifð,Female,Middle aged,train
4,audio_data/B04___21_John________ISLICEN1DA/B04___21_John________ISLICEN1DA_15.wav,B04___21_John________ISLICEN1DA_15.wav,jesús segir við þá,Female,Senior,train
5,audio_data/B08___02_2CorinthiansISLICEN1DA/B08___02_2CorinthiansISLICEN1DA_28.wav,B08___02_2CorinthiansISLICEN1DA_28.wav,og til þeirra sem glatast,Male,Middle aged,train
1,audio_data/B01___11_Matthew_____ISLICEN1DA/B01___11_Matthew_____ISLICEN1DA_05.wav,B01___11_Matthew_____ISLICEN1DA_05.wav,koma skal eða eigum við að vænta annars,Male,Senior,train
